tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,genres,averageRating,numVotes,sortedTitle,imdb_url
tt0172495,movie,Gladiator,Gladiator,0,2000,\N,Action Adventure Drama,8.5,1364292,Gladiator (2000),https://www.imdb.com/title/tt0172495/
tt0104346,movie,Gladiator,Gladiator,0,1992,\N,Action Drama Sport,6.5,8441,Gladiator (1992),https://www.imdb.com/title/tt0104346/
tt6823368,movie,Glass,Glass,0,2019,\N,Drama Sci-Fi Thriller,6.6,214664,Glass (2019),https://www.imdb.com/title/tt6823368/
tt0257290,movie,Glass Tiger,Üvegtigris,0,2001,\N,Comedy,7.7,6332,Glass Tiger (2001),https://www.imdb.com/title/tt0257290/
tt0476508,movie,Glass Tiger 2,Üvegtigris 2.,0,2006,\N,Comedy,6.8,3809,Glass Tiger 2 (2006),https://www.imdb.com/title/tt0476508/
tt1683040,movie,GlassTiger 3,Üvegtigris 3.,0,2010,\N,Comedy,6.4,3140,GlassTiger 3 (2010),https://www.imdb.com/title/tt1683040/
tt4632316,movie,Gleason,Gleason,0,2016,\N,Documentary,8.3,2672,Gleason (2016),https://www.imdb.com/title/tt4632316/
tt1327801,tvSeries,Glee,Glee,0,2009,2015,Comedy Drama Music,6.7,138211,Glee (2009–2015),https://www.imdb.com/title/tt1327801/
tt0104348,movie,Glengarry Glen Ross,Glengarry Glen Ross,0,1992,\N,Crime Drama Mystery,7.7,97227,Glengarry Glen Ross (1992),https://www.imdb.com/title/tt0104348/
tt4192782,tvSeries,Glitch,Glitch,0,2015,2019,Drama Sci-Fi,7.3,15403,Glitch (2015–2019),https://www.imdb.com/title/tt4192782/
tt1249171,movie,Global Metal,Global Metal,0,2008,\N,Documentary Music,7.9,4613,Global Metal (2008),https://www.imdb.com/title/tt1249171/
tt0080798,movie,Gloria,Gloria,0,1980,\N,Crime Drama Thriller,7.1,8919,Gloria (1980),https://www.imdb.com/title/tt0080798/
tt2425486,movie,Gloria,Gloria,0,2013,\N,Comedy Drama Romance,6.8,8481,Gloria (2013),https://www.imdb.com/title/tt2425486/
tt1319694,movie,Glorious 39,Glorious 39,0,2009,\N,Drama History Mystery,6.4,5218,Glorious 39 (2009),https://www.imdb.com/title/tt1319694/
tt0097441,movie,Glory,Glory,0,1989,\N,Biography Drama History,7.8,125349,Glory (1989),https://www.imdb.com/title/tt0097441/
tt0385726,movie,Glory Road,Glory Road,0,2006,\N,Biography Drama Sport,7.2,43737,Glory Road (2006),https://www.imdb.com/title/tt0385726/
